"gFfpVo2FwT","0","","","","1","0","Pointer","_User","JdOjsewt0L","","","","Cheers ladies! Pleasure to meet you, I’m Safina, Society Gal’s Event Planner 🖤 Thrilled to connect with all of you here and always looking for feedback on what you want and how you want it! If I can find a way to bring it to you, be sure it’ll come in a sexy #safisticated package 💋","7","12","0","2020-03-03T12:49:31.508Z","2020-03-03T12:49:31.508Z"
"jRNVujUa03","0","","","","0","1","Pointer","_User","XJ1fbtm3aC","File","652013e6864a6059b449f6b081709304_image.jpg","https://parsefiles.back4app.com/Eu2H7JiGkiBwPaHNw08ZlAfvj092WDz8nECpxGti/652013e6864a6059b449f6b081709304_image.jpg","Transform your life! Tomorrow Saturday November 16 at 5 pm! @acwilliamsdzign is having an evening of Jazz & Fashion 🎼 👗 in honor of ALL SURVIVORS💚 Be amazed by these one of kind designs. One design transforms into multiple outfits. Meet other businesses and shop their goodies. Check out live performances by local artist and more! DM me for 🎫 •\n•\n•\n•\n•#showlove #showtime #fashionista #fashionablelife #fashiondesigners #fashiondesignerslife #fashiondesigning #fashiondesigns #fashiondesignerslife #transformations #transformational #transformationjourney #dressur #dressed #dressparty #dressbranded #modelstyle #artistic_share #acwilliamsdzign #otobepositive #irianasmith #temecula #murrieta #lakesinore #menifee #wildomar #sandiego #losangeles #sanbernardino #riverside #showmustgoon🔥","6","7","1","2020-03-03T12:49:31.508Z","2020-03-03T12:49:31.508Z"
"uvvYbZtcsl","0","","","","1","0","Pointer","_User","MPIYycMk29","File","945e66a01ae64098f2b94937a134a566_image.jpg","https://parsefiles.back4app.com/Eu2H7JiGkiBwPaHNw08ZlAfvj092WDz8nECpxGti/945e66a01ae64098f2b94937a134a566_image.jpg","Making moves at the Digital Hollywood convention. Getting ready to launch some big business plans!","6","22","0","2020-03-03T12:49:31.517Z","2020-03-03T12:49:31.517Z"
"h7GgZoqjRL","0","","","","0","1","Pointer","_User","EwlsOjH8zR","File","791db236ef99b9603c5dd2e6b5265292_image.jpg","https://parsefiles.back4app.com/Eu2H7JiGkiBwPaHNw08ZlAfvj092WDz8nECpxGti/791db236ef99b9603c5dd2e6b5265292_image.jpg","Note to self: All your milestones started from an idea, then excitement, then soon after fear. Just like when you first learned how to walk, ride a bike, drive. Now look at you, you’ve obviously made it past the fear.\n\nSo why are you treating this next milestone to be any different? Today, decide where you want to go next, then simply...go there.","7","16","0","2020-03-03T12:49:31.517Z","2020-03-03T12:49:31.517Z"
"uFsYWSv0uZ","0","","","","1","1","Pointer","_User","DkROZ0bjmt","","","","Hello! So excited to be part of this! I’m Alisha, originally from Vancouver and now in Seattle. I own a social media & digital marketing agency called The Social Project! I’m also the co-founder of a community for women entrepreneurs and creatives, providing them education and community l to grow and make an impact with their business  called Seattle Business Babes! Look forward to connecting with you all!","6","9","0","2020-03-03T12:49:31.517Z","2020-03-03T12:49:31.517Z"
"F4gcyaeB0d","0","","","","1","0","Pointer","_User","BTzZdLEB2T","File","5093545664d0245bd106b80903827cb3_image.jpg","https://parsefiles.back4app.com/Eu2H7JiGkiBwPaHNw08ZlAfvj092WDz8nECpxGti/5093545664d0245bd106b80903827cb3_image.jpg","Type some caption... let me introduce myself, Fashion Designer of Charmaine Joie Couture, a fashion couture brand that celebrates women with positive empowerment and inspiring to believe in one’s own TrueBeauty💗","5","0","0","2020-03-03T12:49:31.517Z","2020-03-03T12:49:31.517Z"
"4nBTSiQwHL","0","","","","1","2","Pointer","_User","6kvC3pmcAE","","","","Hey everyone! My name is Nasya and I’m a branding and web designer. I work with creatives, solopreneurs, and small businesses. \n","10","3","1","2020-03-03T12:49:31.517Z","2020-03-03T12:49:31.517Z"
"FPTz6YhQMb","0","","","","0","1","Pointer","_User","MPIYycMk29","File","5d1b11765fd1c86836485c180082b315_image.jpg","https://parsefiles.back4app.com/Eu2H7JiGkiBwPaHNw08ZlAfvj092WDz8nECpxGti/5d1b11765fd1c86836485c180082b315_image.jpg","I had an absolutely unforgettable time traveling with Air Italy to Sardinia a few weeks back. It was truly a trip of a lifetime, and I’m still dreaming of their delicious pastas. 🍝\n\nWe just finished another awesome segment on the Under the Radar Destinations in Italy with KKFX My Fox 11! \n\nView here: https://keyt.com/lifestyle/travel/2019/11/12/avoid-tourists-with-these-under-the-radar-italy-destinations/","6","8","0","2020-03-03T12:49:31.517Z","2020-03-03T12:49:31.517Z"
"NvSHNuCrQh","0","File","8a0576150858c3dc3ce7b252511f1b33_video.mp4","https://parsefiles.back4app.com/Eu2H7JiGkiBwPaHNw08ZlAfvj092WDz8nECpxGti/8a0576150858c3dc3ce7b252511f1b33_video.mp4","1","0","Pointer","_User","XJ1fbtm3aC","File","192e4c2c2dd09fb3a0c385085b55b7e2_image.jpg","https://parsefiles.back4app.com/Eu2H7JiGkiBwPaHNw08ZlAfvj092WDz8nECpxGti/192e4c2c2dd09fb3a0c385085b55b7e2_image.jpg","Good morning beautiful people. Always remember the priceless things in life like family, friends, love, community and support matter more then materialistic things of this world. Every moment counts, so cherish them 💙 🌍•\n•\n•\n•\n• #mondaylove #lovemonday #familylove💕 #familylove❤️ #familypictures #familyweekend #familymoments #familyforever #familygathering #familymatters #familyfriendly #familysession #familia💕 #familia👪 #familia😍 #familia😍 #asafamily #irianasmith #otobepositive #momentslikethis #momentcam #momentlikethis #sunnydays☀️ #sunnydays🌞 #hahahahaha #kidslife #parentlife #togetherwerise #togetherwecan #togetherwearestronger #togetherwearebetter","4","0","0","2020-03-03T12:49:31.531Z","2020-03-03T12:49:31.531Z"
"EBCE9AXTQD","0","","","","1","0","Pointer","_User","1RG2Jqpr23","File","3eb75c6fad4fe9dbba0c1944287dfa6b_image.jpg","https://parsefiles.back4app.com/Eu2H7JiGkiBwPaHNw08ZlAfvj092WDz8nECpxGti/3eb75c6fad4fe9dbba0c1944287dfa6b_image.jpg","Hello beautiful souls! I’m a musical artist & I’d REALLY appreciate if you could subscribe to my YouTube channel and help a girl out to grow my following 🙏🏽❤️ Feel free time like/comment on my music videos! 😘 Thank you darlings!! \n\nClick the link below to subscribe ⤵️\n\n\nhttps://www.youtube.com/channel/UCPp_odzbgd30yCbiuvna15Q","8","9","1","2020-03-03T12:49:31.531Z","2020-03-03T12:49:31.531Z"
